mq1,tgs1,timestamp,day,session,species
185,271,2024-01-29 09:12:49.171063,2024-01-29,1,tuna
188,273,2024-01-29 09:12:50.377641,2024-01-29,1,tuna
186,271,2024-01-29 09:12:51.585582,2024-01-29,1,tuna
184,272,2024-01-29 09:12:52.798585,2024-01-29,1,tuna
186,278,2024-01-29 09:12:53.997000,2024-01-29,1,tuna
184,279,2024-01-29 09:12:55.207731,2024-01-29,1,tuna
195,281,2024-01-29 09:12:56.411671,2024-01-29,1,tuna
188,281,2024-01-29 09:12:57.610625,2024-01-29,1,tuna
186,280,2024-01-29 09:12:58.818746,2024-01-29,1,tuna
187,287,2024-01-29 09:13:00.032590,2024-01-29,1,tuna
189,281,2024-01-29 09:13:01.239796,2024-01-29,1,tuna
187,282,2024-01-29 09:13:02.433624,2024-01-29,1,tuna
189,283,2024-01-29 09:13:03.650968,2024-01-29,1,tuna
194,284,2024-01-29 09:13:04.854039,2024-01-29,1,tuna
183,271,2024-01-29 09:13:39.486652,2024-01-29,1,tuna
184,274,2024-01-29 09:13:40.602531,2024-01-29,1,tuna
185,275,2024-01-29 09:13:41.786737,2024-01-29,1,tuna
185,276,2024-01-29 09:13:42.995518,2024-01-29,1,tuna
184,279,2024-01-29 09:13:44.193740,2024-01-29,1,tuna
186,280,2024-01-29 09:13:45.400083,2024-01-29,1,tuna
186,283,2024-01-29 09:13:46.606212,2024-01-29,1,tuna
183,284,2024-01-29 09:13:47.808917,2024-01-29,1,tuna
178,283,2024-01-29 09:13:49.022969,2024-01-29,1,tuna
176,288,2024-01-29 09:13:50.225416,2024-01-29,1,tuna
178,290,2024-01-29 09:13:51.423636,2024-01-29,1,tuna
179,290,2024-01-29 09:13:52.641056,2024-01-29,1,tuna
174,293,2024-01-29 09:13:53.835680,2024-01-29,1,tuna
178,294,2024-01-29 09:13:55.048924,2024-01-29,1,tuna
177,294,2024-01-29 09:13:56.254759,2024-01-29,1,tuna
178,295,2024-01-29 09:13:57.457009,2024-01-29,1,tuna
178,297,2024-01-29 09:13:58.661475,2024-01-29,1,tuna
176,297,2024-01-29 09:13:59.876178,2024-01-29,1,tuna
175,298,2024-01-29 09:14:01.080467,2024-01-29,1,tuna
177,300,2024-01-29 09:14:02.281820,2024-01-29,1,tuna
179,300,2024-01-29 09:14:03.479932,2024-01-29,1,tuna
165,259,2024-01-29 09:14:30.668075,2024-01-29,1,tuna
164,260,2024-01-29 09:14:31.777285,2024-01-29,1,tuna
167,260,2024-01-29 09:14:32.966077,2024-01-29,1,tuna
167,261,2024-01-29 09:14:34.183623,2024-01-29,1,tuna
176,263,2024-01-29 09:14:35.379825,2024-01-29,1,tuna
169,265,2024-01-29 09:14:36.591833,2024-01-29,1,tuna
169,270,2024-01-29 09:14:37.790218,2024-01-29,1,tuna
168,269,2024-01-29 09:14:38.993218,2024-01-29,1,tuna
165,272,2024-01-29 09:14:40.209597,2024-01-29,1,tuna
174,276,2024-01-29 09:14:41.408876,2024-01-29,1,tuna
168,280,2024-01-29 09:14:42.624421,2024-01-29,1,tuna
169,280,2024-01-29 09:14:43.829201,2024-01-29,1,tuna
167,286,2024-01-29 09:14:45.021964,2024-01-29,1,tuna
166,286,2024-01-29 09:14:46.235870,2024-01-29,1,tuna
168,289,2024-01-29 09:14:47.440250,2024-01-29,1,tuna
166,291,2024-01-29 09:14:48.647175,2024-01-29,1,tuna
169,295,2024-01-29 09:14:49.856346,2024-01-29,1,tuna
165,296,2024-01-29 09:14:51.059452,2024-01-29,1,tuna
168,300,2024-01-29 09:14:52.264216,2024-01-29,1,tuna
172,301,2024-01-29 09:14:53.462293,2024-01-29,1,tuna
170,303,2024-01-29 09:14:54.678529,2024-01-29,1,tuna
192,285,2024-01-29 10:03:48.201936,2024-01-29,1,tuna
191,283,2024-01-29 10:03:49.311865,2024-01-29,1,tuna
195,285,2024-01-29 10:03:50.523635,2024-01-29,1,tuna
199,283,2024-01-29 10:03:51.723983,2024-01-29,1,tuna
196,284,2024-01-29 10:03:52.919907,2024-01-29,1,tuna
202,286,2024-01-29 10:03:54.127466,2024-01-29,1,tuna
201,285,2024-01-29 10:03:55.339495,2024-01-29,1,tuna
200,287,2024-01-29 10:03:56.540404,2024-01-29,1,tuna
205,288,2024-01-29 10:03:57.754691,2024-01-29,1,tuna
202,289,2024-01-29 10:03:58.954756,2024-01-29,1,tuna
198,288,2024-01-29 10:04:00.167371,2024-01-29,1,tuna
195,289,2024-01-29 10:04:01.371425,2024-01-29,1,tuna
191,292,2024-01-29 10:04:02.564537,2024-01-29,1,tuna
198,288,2024-01-29 10:04:03.785198,2024-01-29,1,tuna
199,291,2024-01-29 10:04:04.984998,2024-01-29,1,tuna
194,292,2024-01-29 10:04:06.188410,2024-01-29,1,tuna
201,293,2024-01-29 10:04:07.398514,2024-01-29,1,tuna
197,294,2024-01-29 10:04:08.605352,2024-01-29,1,tuna
202,294,2024-01-29 10:04:09.799784,2024-01-29,1,tuna
203,296,2024-01-29 10:04:11.018494,2024-01-29,1,tuna
202,298,2024-01-29 10:04:12.217906,2024-01-29,1,tuna
192,323,2024-01-29 10:05:49.257028,2024-01-29,1,tuna
195,326,2024-01-29 10:05:50.372462,2024-01-29,1,tuna
195,323,2024-01-29 10:05:51.555484,2024-01-29,1,tuna
199,327,2024-01-29 10:05:52.760610,2024-01-29,1,tuna
196,326,2024-01-29 10:05:53.955240,2024-01-29,1,tuna
196,325,2024-01-29 10:05:55.172841,2024-01-29,1,tuna
199,327,2024-01-29 10:05:56.377945,2024-01-29,1,tuna
197,327,2024-01-29 10:05:57.581614,2024-01-29,1,tuna
196,326,2024-01-29 10:05:58.785756,2024-01-29,1,tuna
194,327,2024-01-29 10:05:59.984456,2024-01-29,1,tuna
191,325,2024-01-29 10:06:01.191744,2024-01-29,1,tuna
195,326,2024-01-29 10:06:02.396990,2024-01-29,1,tuna
197,327,2024-01-29 10:06:03.605014,2024-01-29,1,tuna
197,326,2024-01-29 10:06:04.813572,2024-01-29,1,tuna
191,325,2024-01-29 10:06:06.013484,2024-01-29,1,tuna
195,323,2024-01-29 10:06:07.230180,2024-01-29,1,tuna
196,323,2024-01-29 10:06:08.425996,2024-01-29,1,tuna
